what,kind,bundleId,bundleVersion,description,time
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1332961281286
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1332961281302
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1332961284937
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1332961289055
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332961293938
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332961295981
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1332961295981
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1332961295981
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332961298696
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332961300490
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1332961300505
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332961302845
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332961303937
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1332961303937
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1332961303937
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332961305872
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332961306901
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1332961306917
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1332961306917
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332961308961
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332961309990
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1332961309990
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1332961309990
